object,descriptor,supportRadius,similarity,tdOne,tdTwo,tSim
0008,FPFH,1.000000,0.000439,6.816703,19.003286,0.096288
0008,FPFH,1.500000,0.000439,5.428139,18.366288,0.099523
0008,FPFH,2.000000,0.000439,5.522052,18.806794,0.094214
0008,FPFH,5.000000,0.000439,5.396753,18.479537,0.091735
0008,FPFH,10.000000,0.000439,5.230667,17.971173,0.102406
0008,FPFH,50.000000,0.000439,5.468756,18.836615,0.097813
0009,RICI,0.050000,0.001483,0.042741,0.126321,0.178614
0009,RICI,0.100000,0.001373,0.041862,0.126139,0.179568
0009,RICI,0.500000,0.001687,0.041305,0.122129,0.174150
0009,RICI,1.000000,0.002901,0.041100,0.121557,0.146836
0009,RICI,1.500000,0.004309,0.041018,0.122248,0.135243
0009,RICI,2.000000,0.005660,0.040761,0.122140,0.127321
0009,RICI,5.000000,0.013831,0.046995,0.149212,0.128163
0009,RICI,10.000000,0.027002,0.052422,0.145735,0.128565
0009,RICI,50.000000,0.111668,0.044236,0.121932,0.122838
0009,QUICCI,0.050000,0.000000,0.045514,0.129873,0.069220
0009,QUICCI,0.100000,0.000000,0.059054,0.142968,0.069670
0009,QUICCI,0.500000,0.000000,0.043830,0.156951,0.070158
0009,QUICCI,1.000000,0.000000,0.048536,0.140405,0.074406
0009,QUICCI,1.500000,0.000000,0.043699,0.153400,0.074758
0009,QUICCI,2.000000,0.000000,0.045212,0.128975,0.072756
0009,QUICCI,5.000000,0.000000,0.043930,0.125222,0.071732
0009,QUICCI,10.000000,0.000000,0.044817,0.127576,0.071699
0009,QUICCI,50.000000,0.111668,0.043526,0.130902,0.070624
0009,SI,0.050000,0.004097,0.069890,0.083881,0.132485
