dataset,object,descriptor,category,distanceFunction,similarity
OverlappingObjects,0189,SI,15.1-25.0,Pearson,0.610719
OverlappingObjects,0190,SI,15.1-25.0,Cosine,0.661253
OverlappingObjects,0190,SI,15.1-25.0,Pearson,0.613452
OverlappingObjects,0191,SI,15.1-25.0,Cosine,0.646568
OverlappingObjects,0191,SI,15.1-25.0,Pearson,0.617896
OverlappingObjects,0192,SI,15.1-25.0,Cosine,0.501924
OverlappingObjects,0192,SI,15.1-25.0,Pearson,0.679813
OverlappingObjects,0193,SI,15.1-25.0,Cosine,0.519872
OverlappingObjects,0193,SI,15.1-25.0,Pearson,0.671425
OverlappingObjects,0194,SI,15.1-25.0,Cosine,0.393559
OverlappingObjects,0194,SI,15.1-25.0,Pearson,0.733146
OverlappingObjects,0195,SI,15.1-25.0,Cosine,0.330908
OverlappingObjects,0195,SI,15.1-25.0,Pearson,0.772337
OverlappingObjects,0196,SI,15.1-25.0,Cosine,0.464031
OverlappingObjects,0196,SI,15.1-25.0,Pearson,0.697507
OverlappingObjects,0197,SI,15.1-25.0,Cosine,0.558206
OverlappingObjects,0197,SI,15.1-25.0,Pearson,0.659522
OverlappingObjects,0198,SI,15.1-25.0,Cosine,0.557494
OverlappingObjects,0198,SI,15.1-25.0,Pearson,0.654766
OverlappingObjects,0199,SI,15.1-25.0,Cosine,0.655309
OverlappingObjects,0199,SI,15.1-25.0,Pearson,0.614071
OverlappingObjects,0200,SI,15.1-25.0,Cosine,0.741538
OverlappingObjects,0200,SI,15.1-25.0,Pearson,0.582339
OverlappingObjects,0201,SI,15.1-25.0,Cosine,0.681545
OverlappingObjects,0201,SI,15.1-25.0,Pearson,0.603414
OverlappingObjects,0202,SI,15.1-25.0,Cosine,0.634824
OverlappingObjects,0202,SI,15.1-25.0,Pearson,0.622593
OverlappingObjects,0203,SI,15.1-25.0,Cosine,0.539467
OverlappingObjects,0203,SI,15.1-25.0,Pearson,0.663366
OverlappingObjects,0204,SI,15.1-25.0,Cosine,0.698503
OverlappingObjects,0204,SI,15.1-25.0,Pearson,0.597321
OverlappingObjects,0205,SI,15.1-25.0,Cosine,0.711124
OverlappingObjects,0205,SI,15.1-25.0,Pearson,0.595320
OverlappingObjects,0206,SI,15.1-25.0,Cosine,0.748533
OverlappingObjects,0206,SI,15.1-25.0,Pearson,0.578125
OverlappingObjects,0207,SI,15.1-25.0,Cosine,0.475357
OverlappingObjects,0207,SI,15.1-25.0,Pearson,0.692833
OverlappingObjects,0208,SI,15.1-25.0,Cosine,0.538836
OverlappingObjects,0208,SI,15.1-25.0,Pearson,0.665010
OverlappingObjects,0209,SI,15.1-25.0,Cosine,0.727598
OverlappingObjects,0209,SI,15.1-25.0,Pearson,0.587245
