dataset,object,descriptor,category,time
OverlappingObjects,0046,RICI,15.1-25.0,0.016585082
OverlappingObjects,0046,SI,15.1-25.0,0.097347783
OverlappingObjects,0047,3DSC,15.1-25.0,0.45527023
OverlappingObjects,0047,FPFH,15.1-25.0,1.672162626
OverlappingObjects,0047,QUICCI,15.1-25.0,0.016463502
OverlappingObjects,0047,RICI,15.1-25.0,0.015805153
OverlappingObjects,0047,SI,15.1-25.0,0.098910881
OverlappingObjects,0048,3DSC,15.1-25.0,0.535605383
OverlappingObjects,0048,FPFH,15.1-25.0,1.782121496
OverlappingObjects,0048,QUICCI,15.1-25.0,0.022756725
OverlappingObjects,0048,RICI,15.1-25.0,0.022568175
OverlappingObjects,0048,SI,15.1-25.0,0.122167716
OverlappingObjects,0049,3DSC,15.1-25.0,0.508090033
OverlappingObjects,0049,FPFH,15.1-25.0,2.647076786
OverlappingObjects,0049,QUICCI,15.1-25.0,0.076450106
OverlappingObjects,0049,RICI,15.1-25.0,0.075012928
OverlappingObjects,0049,SI,15.1-25.0,0.168720295
OverlappingObjects,0050,3DSC,15.1-25.0,0.440415307
OverlappingObjects,0050,FPFH,15.1-25.0,1.570163858
OverlappingObjects,0050,QUICCI,15.1-25.0,0.011325308
OverlappingObjects,0050,RICI,15.1-25.0,0.011267527
OverlappingObjects,0050,SI,15.1-25.0,0.083723998
OverlappingObjects,0051,3DSC,15.1-25.0,0.413125907
OverlappingObjects,0051,FPFH,15.1-25.0,1.78674111
OverlappingObjects,0051,QUICCI,15.1-25.0,0.019025409
OverlappingObjects,0051,RICI,15.1-25.0,0.01833388
OverlappingObjects,0051,SI,15.1-25.0,0.10932622
OverlappingObjects,0052,3DSC,15.1-25.0,0.517266953
OverlappingObjects,0052,FPFH,15.1-25.0,1.778230799
OverlappingObjects,0052,QUICCI,15.1-25.0,0.022938325
OverlappingObjects,0052,RICI,15.1-25.0,0.022426515
OverlappingObjects,0052,SI,15.1-25.0,0.115003923
OverlappingObjects,0053,3DSC,15.1-25.0,0.464073531
OverlappingObjects,0053,FPFH,15.1-25.0,1.77784207
OverlappingObjects,0053,QUICCI,15.1-25.0,0.019655749
OverlappingObjects,0053,RICI,15.1-25.0,0.019093909
OverlappingObjects,0053,SI,15.1-25.0,0.111636508
OverlappingObjects,0054,3DSC,15.1-25.0,0.140711065
OverlappingObjects,0054,FPFH,15.1-25.0,1.026401464
OverlappingObjects,0054,QUICCI,15.1-25.0,0.001375779
OverlappingObjects,0054,RICI,15.1-25.0,0.001277098
OverlappingObjects,0054,SI,15.1-25.0,0.017012001
OverlappingObjects,0055,3DSC,15.1-25.0,0.445503221
OverlappingObjects,0055,FPFH,15.1-25.0,1.462521456
OverlappingObjects,0055,QUICCI,15.1-25.0,0.010780819
OverlappingObjects,0055,RICI,15.1-25.0,0.00971883
OverlappingObjects,0055,SI,15.1-25.0,0.063488501
OverlappingObjects,0056,3DSC,15.1-25.0,0.482128411
OverlappingObjects,0056,FPFH,15.1-25.0,1.78670389
OverlappingObjects,0056,QUICCI,15.1-25.0,0.021603456
OverlappingObjects,0056,RICI,15.1-25.0,0.021095037
OverlappingObjects,0056,SI,15.1-25.0,0.10954433
OverlappingObjects,0057,3DSC,15.1-25.0,0.6479756
OverlappingObjects,0057,FPFH,15.1-25.0,2.765233627
OverlappingObjects,0057,QUICCI,15.1-25.0,0.084777887
OverlappingObjects,0057,RICI,15.1-25.0,0.082850599
OverlappingObjects,0057,SI,15.1-25.0,0.207827922
OverlappingObjects,0058,3DSC,15.1-25.0,0.374374879
OverlappingObjects,0058,FPFH,15.1-25.0,1.243543256
OverlappingObjects,0058,QUICCI,15.1-25.0,0.004941975
OverlappingObjects,0058,RICI,15.1-25.0,0.004749855
OverlappingObjects,0058,SI,15.1-25.0,0.053675681
OverlappingObjects,0059,3DSC,15.1-25.0,0.488215344
OverlappingObjects,0059,FPFH,15.1-25.0,1.343434227
OverlappingObjects,0059,QUICCI,15.1-25.0,0.005104224
OverlappingObjects,0059,RICI,15.1-25.0,0.004858705
OverlappingObjects,0059,SI,15.1-25.0,0.05470231
OverlappingObjects,0060,3DSC,15.1-25.0,0.309331761
OverlappingObjects,0060,FPFH,15.1-25.0,1.347088642
OverlappingObjects,0060,QUICCI,15.1-25.0,0.005513274
OverlappingObjects,0060,RICI,15.1-25.0,0.005309674
OverlappingObjects,0060,SI,15.1-25.0,0.049843295
OverlappingObjects,0061,3DSC,15.1-25.0,0.325719013
OverlappingObjects,0061,FPFH,15.1-25.0,1.89697148
OverlappingObjects,0061,QUICCI,15.1-25.0,0.026299021
OverlappingObjects,0061,RICI,15.1-25.0,0.024593463
OverlappingObjects,0061,SI,15.1-25.0,0.094655536
OverlappingObjects,0062,3DSC,15.1-25.0,0.506273875
OverlappingObjects,0062,FPFH,15.1-25.0,1.898995388
OverlappingObjects,0062,QUICCI,15.1-25.0,0.025124242
OverlappingObjects,0062,RICI,15.1-25.0,0.024575093
OverlappingObjects,0062,SI,15.1-25.0,0.112901477
OverlappingObjects,0063,3DSC,15.1-25.0,0.542156865
OverlappingObjects,0063,FPFH,15.1-25.0,1.89624898
OverlappingObjects,0063,QUICCI,15.1-25.0,0.025541242
OverlappingObjects,0063,RICI,15.1-25.0,0.024943652
OverlappingObjects,0063,SI,15.1-25.0,0.114987904
OverlappingObjects,0064,3DSC,15.1-25.0,0.361007215
OverlappingObjects,0064,FPFH,15.1-25.0,1.566339852
OverlappingObjects,0064,QUICCI,15.1-25.0,0.011480208
OverlappingObjects,0064,RICI,15.1-25.0,0.011086988
OverlappingObjects,0064,SI,15.1-25.0,0.073726879
OverlappingObjects,0065,3DSC,15.1-25.0,0.379682204
OverlappingObjects,0065,FPFH,15.1-25.0,1.99617022
OverlappingObjects,0065,QUICCI,15.1-25.0,0.032009404
OverlappingObjects,0065,RICI,15.1-25.0,0.031009856
OverlappingObjects,0065,SI,15.1-25.0,0.105215765
OverlappingObjects,0066,3DSC,15.1-25.0,0.561590434
OverlappingObjects,0066,FPFH,15.1-25.0,2.977873324
OverlappingObjects,0066,QUICCI,15.1-25.0,0.108308161
OverlappingObjects,0066,RICI,15.1-25.0,0.106711233
OverlappingObjects,0066,SI,15.1-25.0,0.194286117
OverlappingObjects,0067,3DSC,15.1-25.0,0.526746472
OverlappingObjects,0067,FPFH,15.1-25.0,1.893930863
OverlappingObjects,0067,QUICCI,15.1-25.0,0.025456982
OverlappingObjects,0067,RICI,15.1-25.0,0.024809003
OverlappingObjects,0067,SI,15.1-25.0,0.11898076
OverlappingObjects,0068,3DSC,15.1-25.0,0.414110556
OverlappingObjects,0068,FPFH,15.1-25.0,1.566878081
OverlappingObjects,0068,QUICCI,15.1-25.0,0.014279084
OverlappingObjects,0068,RICI,15.1-25.0,0.013751445
OverlappingObjects,0068,SI,15.1-25.0,0.110994948
OverlappingObjects,0069,3DSC,15.1-25.0,0.493570619
OverlappingObjects,0069,FPFH,15.1-25.0,1.891536325
OverlappingObjects,0069,QUICCI,15.1-25.0,0.028361579
OverlappingObjects,0069,RICI,15.1-25.0,0.02736106
OverlappingObjects,0069,SI,15.1-25.0,0.126716481
OverlappingObjects,0070,3DSC,15.1-25.0,0.384743628
OverlappingObjects,0070,FPFH,15.1-25.0,1.13039886
OverlappingObjects,0070,QUICCI,15.1-25.0,0.002049208
OverlappingObjects,0070,RICI,15.1-25.0,0.001833438
OverlappingObjects,0070,SI,15.1-25.0,0.034124522
OverlappingObjects,0071,3DSC,15.1-25.0,0.403538087
OverlappingObjects,0071,FPFH,15.1-25.0,1.350384609
OverlappingObjects,0071,QUICCI,15.1-25.0,0.007009712
OverlappingObjects,0071,RICI,15.1-25.0,0.006589892
OverlappingObjects,0071,SI,15.1-25.0,0.080610531
OverlappingObjects,0072,3DSC,15.1-25.0,0.479643284
OverlappingObjects,0072,FPFH,15.1-25.0,2.071701698
OverlappingObjects,0072,QUICCI,15.1-25.0,0.032022955
OverlappingObjects,0072,RICI,15.1-25.0,0.031255986
OverlappingObjects,0072,SI,15.1-25.0,0.116789761
OverlappingObjects,0073,3DSC,15.1-25.0,0.393308189
OverlappingObjects,0073,FPFH,15.1-25.0,1.350536939
OverlappingObjects,0073,QUICCI,15.1-25.0,0.006423403
OverlappingObjects,0073,RICI,15.1-25.0,0.006201943
OverlappingObjects,0073,SI,15.1-25.0,0.058601456
OverlappingObjects,0074,3DSC,15.1-25.0,0.338822658
OverlappingObjects,0074,FPFH,15.1-25.0,1.455694583
OverlappingObjects,0074,QUICCI,15.1-25.0,0.009595149
OverlappingObjects,0074,RICI,15.1-25.0,0.009313829
OverlappingObjects,0074,SI,15.1-25.0,0.057763696
OverlappingObjects,0075,3DSC,15.1-25.0,0.197890903
OverlappingObjects,0075,FPFH,15.1-25.0,1.026686164
OverlappingObjects,0075,QUICCI,15.1-25.0,0.001221939
OverlappingObjects,0075,RICI,15.1-25.0,0.001134848
OverlappingObjects,0075,SI,15.1-25.0,0.019671018
OverlappingObjects,0076,3DSC,15.1-25.0,0.509349171
OverlappingObjects,0076,FPFH,15.1-25.0,2.219614996
OverlappingObjects,0076,QUICCI,15.1-25.0,0.046920459
OverlappingObjects,0076,RICI,15.1-25.0,0.046538549
OverlappingObjects,0076,SI,15.1-25.0,0.171280532
OverlappingObjects,0077,3DSC,15.1-25.0,0.625058445
OverlappingObjects,0077,FPFH,15.1-25.0,2.541032284
OverlappingObjects,0077,QUICCI,15.1-25.0,0.070134653
OverlappingObjects,0077,RICI,15.1-25.0,0.069122584
OverlappingObjects,0077,SI,15.1-25.0,0.176948786
OverlappingObjects,0078,3DSC,15.1-25.0,0.449360867
OverlappingObjects,0078,FPFH,15.1-25.0,1.783792173
OverlappingObjects,0078,QUICCI,15.1-25.0,0.019361348
OverlappingObjects,0078,RICI,15.1-25.0,0.01860489
OverlappingObjects,0078,SI,15.1-25.0,0.125934542
OverlappingObjects,0079,3DSC,15.1-25.0,0.479229064
OverlappingObjects,0079,FPFH,15.1-25.0,1.889828228
OverlappingObjects,0079,QUICCI,15.1-25.0,0.026775841
OverlappingObjects,0079,RICI,15.1-25.0,0.025971152
OverlappingObjects,0079,SI,15.1-25.0,0.128435079
OverlappingObjects,0080,3DSC,15.1-25.0,0.562052923
OverlappingObjects,0080,FPFH,15.1-25.0,2.220668685
OverlappingObjects,0080,QUICCI,15.1-25.0,0.045509471
OverlappingObjects,0080,RICI,15.1-25.0,0.044450462
OverlappingObjects,0080,SI,15.1-25.0,0.157568447
